attribute,height_inches,associated_attribute,max_delta
ReboundOffense,83,Vertical,45
ReboundOffense,83,ShotClose,15
ReboundOffense,84,ReboundDefense,15
ReboundOffense,84,Vertical,45
ReboundOffense,84,ShotClose,20
ReboundOffense,85,ReboundDefense,15
ReboundOffense,85,Vertical,45
ReboundOffense,85,ShotClose,20
ReboundOffense,86,ReboundDefense,15
ReboundOffense,86,Vertical,45
ReboundOffense,86,ShotClose,20
ReboundOffense,87,ReboundDefense,15
ReboundOffense,87,Vertical,45
ReboundOffense,87,ShotClose,20
ReboundOffense,88,ReboundDefense,15
ReboundOffense,88,Vertical,45
ReboundOffense,88,ShotClose,20
ShotClose,69,ShotMidrange,40
ShotClose,69,Vertical,45
ShotClose,69,ShotFreeThrow,40
ShotClose,69,ReboundOffense,60
ShotClose,69,ReboundOffense,60
ShotClose,69,DrivingLayup,25
ShotClose,70,ShotMidrange,40
ShotClose,70,Vertical,45
ShotClose,70,ShotFreeThrow,40
ShotClose,70,ReboundOffense,60
ShotClose,70,ReboundOffense,60
ShotClose,70,DrivingLayup,25
ShotClose,71,ShotMidrange,40
ShotClose,71,Vertical,45
ShotClose,71,ShotFreeThrow,40
ShotClose,71,ReboundOffense,60
ShotClose,71,ReboundOffense,60
ShotClose,71,DrivingLayup,25
ShotClose,72,ShotMidrange,40
ShotClose,72,Vertical,45
ShotClose,72,ShotFreeThrow,40
ShotClose,72,ReboundOffense,60
ShotClose,72,ReboundOffense,60
ShotClose,72,DrivingLayup,25
ShotClose,73,ShotMidrange,40
ShotClose,73,Vertical,45
ShotClose,73,ShotFreeThrow,40
ShotClose,73,ReboundOffense,60
ShotClose,73,ReboundOffense,60
ShotClose,73,DrivingLayup,25
ShotClose,74,ShotMidrange,40
ShotClose,74,Vertical,45
ShotClose,74,ShotFreeThrow,40
ShotClose,74,ReboundOffense,60
ShotClose,74,ReboundOffense,60
ShotClose,74,DrivingLayup,25
ShotClose,75,ShotMidrange,40
ShotClose,75,Vertical,45
ShotClose,75,ShotFreeThrow,40
ShotClose,75,ReboundOffense,60
ShotClose,75,ReboundOffense,60
ShotClose,75,DrivingLayup,25
ShotClose,76,ShotMidrange,40
ShotClose,76,Vertical,45
ShotClose,76,ShotFreeThrow,40
ShotClose,76,ReboundOffense,60
ShotClose,76,ReboundOffense,55
ShotClose,76,DrivingLayup,25
ShotClose,77,ShotMidrange,40
ShotClose,77,Vertical,45
ShotClose,77,ShotFreeThrow,40
ShotClose,77,ReboundOffense,60
ShotClose,77,ReboundOffense,55
ShotClose,77,DrivingLayup,25
ShotClose,78,ShotMidrange,40
ShotClose,78,Vertical,45
ShotClose,78,ShotFreeThrow,40
ShotClose,78,ReboundOffense,60
ShotClose,78,ReboundOffense,50
ShotClose,78,DrivingLayup,25
ShotClose,79,ShotMidrange,40
ShotClose,79,Vertical,45
ShotClose,79,ShotFreeThrow,40
ShotClose,79,ReboundOffense,60
ShotClose,79,ReboundOffense,50
ShotClose,79,DrivingLayup,25
ShotClose,80,ShotMidrange,40
ShotClose,80,Vertical,45
ShotClose,80,ShotFreeThrow,40
ShotClose,80,ReboundOffense,60
ShotClose,80,ReboundOffense,45
ShotClose,80,DrivingLayup,25
ShotClose,81,ShotMidrange,40
ShotClose,81,Vertical,45
ShotClose,81,ShotFreeThrow,40
ShotClose,81,PostControl,30
ShotClose,81,ReboundOffense,60
ShotClose,81,DrivingLayup,25
ShotClose,82,ShotMidrange,40
ShotClose,82,Vertical,45
ShotClose,82,ShotFreeThrow,40
ShotClose,82,PostControl,25
ShotClose,82,ReboundOffense,60
ShotClose,82,DrivingLayup,25
ShotClose,83,ShotMidrange,40
ShotClose,83,Vertical,45
ShotClose,83,ShotFreeThrow,40
ShotClose,83,PostControl,25
ShotClose,83,ReboundOffense,60
ShotClose,83,DrivingLayup,25
ShotClose,84,ShotMidrange,40
ShotClose,84,Vertical,45
ShotClose,84,ShotFreeThrow,40
ShotClose,84,PostControl,25
ShotClose,84,ReboundOffense,60
ShotClose,84,DrivingLayup,25
ShotClose,85,ShotMidrange,40
ShotClose,85,Vertical,45
ShotClose,85,ShotFreeThrow,40
ShotClose,85,PostControl,25
ShotClose,85,ReboundOffense,60
ShotClose,85,DrivingLayup,25
ShotClose,86,ShotMidrange,40
ShotClose,86,Vertical,45
ShotClose,86,ShotFreeThrow,40
ShotClose,86,PostControl,25
ShotClose,86,ReboundOffense,60
ShotClose,86,DrivingLayup,25
ShotClose,87,ShotMidrange,40
ShotClose,87,Vertical,45
ShotClose,87,ShotFreeThrow,40
ShotClose,87,PostControl,25
ShotClose,87,ReboundOffense,60
ShotClose,87,DrivingLayup,25
ShotClose,88,ShotMidrange,40
ShotClose,88,Vertical,45
ShotClose,88,ShotFreeThrow,40
ShotClose,88,PostControl,25
ShotClose,88,ReboundOffense,60
ShotClose,88,DrivingLayup,25
ShotFreeThrow,69,ShotMidrange,25
ShotFreeThrow,69,ShotThree,15
ShotFreeThrow,70,ShotMidrange,25
ShotFreeThrow,70,ShotThree,15
ShotFreeThrow,71,ShotMidrange,25
ShotFreeThrow,71,ShotThree,15
ShotFreeThrow,72,ShotMidrange,25
ShotFreeThrow,72,ShotThree,15
ShotFreeThrow,73,ShotMidrange,25
ShotFreeThrow,73,ShotThree,15
ShotFreeThrow,74,ShotMidrange,25
ShotFreeThrow,74,ShotThree,15
ShotFreeThrow,75,ShotMidrange,25
ShotFreeThrow,75,ShotThree,20
ShotFreeThrow,76,ShotMidrange,25
ShotFreeThrow,76,ShotThree,20
ShotFreeThrow,77,ShotMidrange,25
ShotFreeThrow,77,ShotThree,20
ShotFreeThrow,78,ShotMidrange,25
ShotFreeThrow,78,ShotThree,20
ShotFreeThrow,79,ShotMidrange,25
ShotFreeThrow,79,ShotThree,20
ShotFreeThrow,80,ShotMidrange,25
ShotFreeThrow,80,ShotThree,35
ShotFreeThrow,81,ShotMidrange,25
ShotFreeThrow,81,ShotThree,40
ShotFreeThrow,82,ShotMidrange,25
ShotFreeThrow,82,ShotThree,40
ShotFreeThrow,83,ShotMidrange,25
ShotFreeThrow,83,ShotThree,45
ShotFreeThrow,84,ShotMidrange,25
ShotFreeThrow,84,ShotThree,45
ShotFreeThrow,85,ShotMidrange,25
ShotFreeThrow,85,ShotThree,45
ShotFreeThrow,86,ShotMidrange,25
ShotFreeThrow,86,ShotThree,45
ShotFreeThrow,87,ShotMidrange,25
ShotFreeThrow,87,ShotThree,45
ShotFreeThrow,88,ShotMidrange,25
ShotFreeThrow,88,ShotThree,45
ShotMidrange,69,ShotClose,15
ShotMidrange,69,ShotThree,15
ShotMidrange,69,ShotFreeThrow,25
ShotMidrange,70,ShotClose,15
ShotMidrange,70,ShotThree,15
ShotMidrange,70,ShotFreeThrow,25
ShotMidrange,71,ShotClose,15
ShotMidrange,71,ShotThree,15
ShotMidrange,71,ShotFreeThrow,25
ShotMidrange,72,ShotClose,15
ShotMidrange,72,ShotThree,15
ShotMidrange,72,ShotFreeThrow,25
ShotMidrange,73,ShotClose,15
ShotMidrange,73,ShotThree,15
ShotMidrange,73,ShotFreeThrow,25
ShotMidrange,74,ShotClose,15
ShotMidrange,74,ShotThree,20
ShotMidrange,74,ShotFreeThrow,25
ShotMidrange,75,ShotClose,15
ShotMidrange,75,ShotThree,25
ShotMidrange,75,ShotFreeThrow,25
ShotMidrange,76,ShotClose,15
ShotMidrange,76,ShotThree,25
ShotMidrange,76,ShotFreeThrow,25
ShotMidrange,77,ShotClose,15
ShotMidrange,77,ShotThree,25
ShotMidrange,77,ShotFreeThrow,25
ShotMidrange,78,ShotClose,15
ShotMidrange,78,ShotThree,30
ShotMidrange,78,ShotFreeThrow,25
ShotMidrange,79,ShotClose,15
ShotMidrange,79,ShotThree,35
ShotMidrange,79,ShotFreeThrow,25
ShotMidrange,80,ShotClose,15
ShotMidrange,80,ShotThree,45
ShotMidrange,80,ShotFreeThrow,25
ShotMidrange,81,ShotClose,10
ShotMidrange,81,ShotThree,30
ShotMidrange,81,ShotFreeThrow,25
ShotMidrange,82,ShotClose,10
ShotMidrange,82,ShotThree,35
ShotMidrange,82,ShotFreeThrow,25
ShotMidrange,83,ShotClose,5
ShotMidrange,83,ShotThree,40
ShotMidrange,83,ShotFreeThrow,25
ShotMidrange,84,ShotClose,5
ShotMidrange,84,ShotThree,45
ShotMidrange,84,ShotFreeThrow,25
ShotMidrange,85,ShotClose,5
ShotMidrange,85,ShotThree,45
ShotMidrange,85,ShotFreeThrow,25
ShotMidrange,86,ShotClose,5
ShotMidrange,86,ShotThree,45
ShotMidrange,86,ShotFreeThrow,25
ShotMidrange,87,ShotClose,5
ShotMidrange,87,ShotThree,45
ShotMidrange,87,ShotFreeThrow,25
ShotMidrange,88,ShotClose,5
ShotMidrange,88,ShotThree,45
ShotMidrange,88,ShotFreeThrow,25
ShotThree,69,ShotMidrange,10
ShotThree,69,ShotFreeThrow,25
ShotThree,70,ShotMidrange,10
ShotThree,70,ShotFreeThrow,25
ShotThree,71,ShotMidrange,10
ShotThree,71,ShotFreeThrow,25
ShotThree,72,ShotMidrange,10
ShotThree,72,ShotFreeThrow,25
ShotThree,73,ShotMidrange,10
ShotThree,73,ShotFreeThrow,25
ShotThree,74,ShotMidrange,10
ShotThree,74,ShotFreeThrow,25
ShotThree,75,ShotMidrange,10
ShotThree,75,ShotFreeThrow,25
ShotThree,76,ShotMidrange,10
ShotThree,76,ShotFreeThrow,25
ShotThree,77,ShotMidrange,10
ShotThree,77,ShotFreeThrow,25
ShotThree,78,ShotMidrange,10
ShotThree,78,ShotFreeThrow,25
ShotThree,79,ShotMidrange,10
ShotThree,79,ShotFreeThrow,25
ShotThree,80,ShotMidrange,10
ShotThree,80,ShotFreeThrow,25
ShotThree,81,ShotMidrange,10
ShotThree,81,ShotFreeThrow,25
ShotThree,82,ShotMidrange,10
ShotThree,82,ShotFreeThrow,25
ShotThree,83,ShotMidrange,10
ShotThree,83,ShotFreeThrow,25
ShotThree,84,ShotMidrange,10
ShotThree,84,ShotFreeThrow,25
ShotThree,85,ShotMidrange,10
ShotThree,85,ShotFreeThrow,25
ShotThree,86,ShotMidrange,10
ShotThree,86,ShotFreeThrow,25
ShotThree,87,ShotMidrange,10
ShotThree,87,ShotFreeThrow,25
ShotThree,88,ShotMidrange,10
ShotThree,88,ShotFreeThrow,25
Speed,69,Agility,15
Speed,69,PerimeterDefense,30
Speed,69,SpeedWithBall,5
Speed,69,Vertical,30
Speed,70,Agility,15
Speed,70,PerimeterDefense,30
Speed,70,SpeedWithBall,5
Speed,70,Vertical,30
Speed,71,Agility,15
Speed,71,PerimeterDefense,30
Speed,71,SpeedWithBall,5
Speed,71,Vertical,30
Speed,72,Agility,15
Speed,72,PerimeterDefense,30
Speed,72,SpeedWithBall,5
Speed,72,Vertical,30
Speed,73,Agility,15
Speed,73,PerimeterDefense,30
Speed,73,SpeedWithBall,5
Speed,73,Vertical,30
Speed,74,Agility,15
Speed,74,PerimeterDefense,30
Speed,74,SpeedWithBall,5
Speed,74,Vertical,30
Speed,75,Agility,15
Speed,75,PerimeterDefense,30
Speed,75,SpeedWithBall,10
Speed,75,Vertical,30
Speed,76,Agility,15
Speed,76,PerimeterDefense,30
Speed,76,SpeedWithBall,15
Speed,76,Vertical,30
Speed,77,Agility,15
Speed,77,PerimeterDefense,30
Speed,77,SpeedWithBall,15
Speed,77,Vertical,30
Speed,78,Agility,15
Speed,78,PerimeterDefense,30
Speed,78,SpeedWithBall,15
Speed,78,Vertical,30
Speed,79,Agility,15
Speed,79,PerimeterDefense,30
Speed,79,SpeedWithBall,25
Speed,79,Vertical,30
Speed,80,Agility,15
Speed,80,PerimeterDefense,30
Speed,80,SpeedWithBall,30
Speed,80,Vertical,30
Speed,81,Agility,15
Speed,81,PerimeterDefense,30
Speed,81,SpeedWithBall,30
Speed,81,Vertical,30
Speed,82,Agility,15
Speed,82,PerimeterDefense,30
Speed,82,SpeedWithBall,30
Speed,82,Vertical,30
Speed,83,Agility,15
Speed,83,PerimeterDefense,30
Speed,83,SpeedWithBall,40
Speed,83,Vertical,30
Speed,84,Agility,20
Speed,84,PerimeterDefense,30
Speed,84,SpeedWithBall,40
Speed,84,Vertical,30
Speed,85,Agility,20
Speed,85,PerimeterDefense,30
Speed,85,SpeedWithBall,40
Speed,85,Vertical,30
Speed,86,Agility,20
Speed,86,PerimeterDefense,30
Speed,86,SpeedWithBall,40
Speed,86,Vertical,30
Speed,87,Agility,20
Speed,87,PerimeterDefense,30
Speed,87,SpeedWithBall,40
Speed,87,Vertical,30
Speed,88,Agility,20
Speed,88,PerimeterDefense,30
Speed,88,SpeedWithBall,40
Speed,88,Vertical,30
SpeedWithBall,69,Speed,0
SpeedWithBall,69,BallControl,5
SpeedWithBall,69,Agility,15
SpeedWithBall,70,Speed,0
SpeedWithBall,70,BallControl,5
SpeedWithBall,70,Agility,15
SpeedWithBall,71,Speed,0
SpeedWithBall,71,BallControl,5
SpeedWithBall,71,Agility,15
SpeedWithBall,72,Speed,0
SpeedWithBall,72,BallControl,5
SpeedWithBall,72,Agility,15
SpeedWithBall,73,Speed,0
SpeedWithBall,73,BallControl,5
SpeedWithBall,73,Agility,15
SpeedWithBall,74,Speed,0
SpeedWithBall,74,BallControl,5
SpeedWithBall,74,Agility,15
SpeedWithBall,75,Speed,0
SpeedWithBall,75,BallControl,5
SpeedWithBall,75,Agility,15
SpeedWithBall,76,Speed,0
SpeedWithBall,76,BallControl,5
SpeedWithBall,76,Agility,15
SpeedWithBall,77,Speed,0
SpeedWithBall,77,BallControl,5
SpeedWithBall,77,Agility,15
SpeedWithBall,78,Speed,0
SpeedWithBall,78,BallControl,5
SpeedWithBall,78,Agility,15
SpeedWithBall,79,Speed,0
SpeedWithBall,79,BallControl,5
SpeedWithBall,79,Agility,15
SpeedWithBall,80,Speed,0
SpeedWithBall,80,BallControl,5
SpeedWithBall,80,Agility,15
SpeedWithBall,81,Speed,0
SpeedWithBall,81,BallControl,5
SpeedWithBall,81,Agility,15
SpeedWithBall,82,Speed,0
SpeedWithBall,82,BallControl,5
SpeedWithBall,82,Agility,15
SpeedWithBall,83,Speed,0
SpeedWithBall,83,BallControl,5
SpeedWithBall,83,Agility,15
SpeedWithBall,84,Speed,0
SpeedWithBall,84,BallControl,5
SpeedWithBall,84,Agility,15
SpeedWithBall,85,Speed,0
SpeedWithBall,85,BallControl,5
SpeedWithBall,85,Agility,15
SpeedWithBall,86,Speed,0
SpeedWithBall,86,BallControl,5
SpeedWithBall,86,Agility,15
SpeedWithBall,87,Speed,0
SpeedWithBall,87,BallControl,5
SpeedWithBall,87,Agility,15
SpeedWithBall,88,Speed,0
SpeedWithBall,88,BallControl,5
SpeedWithBall,88,Agility,15
StandingDunk,69,Vertical,40
StandingDunk,69,DrivingDunk,5
StandingDunk,69,ShotClose,5
StandingDunk,70,Vertical,40
StandingDunk,70,DrivingDunk,5
StandingDunk,70,ShotClose,5
StandingDunk,71,Vertical,40
StandingDunk,71,DrivingDunk,5
StandingDunk,71,ShotClose,5
StandingDunk,72,Vertical,40
StandingDunk,72,DrivingDunk,5
StandingDunk,72,ShotClose,5
StandingDunk,73,Vertical,40
StandingDunk,73,DrivingDunk,5
StandingDunk,73,ShotClose,5
StandingDunk,74,Vertical,40
StandingDunk,74,DrivingDunk,5
StandingDunk,74,ShotClose,5
StandingDunk,75,Vertical,40
StandingDunk,75,DrivingDunk,5
StandingDunk,75,ShotClose,5
StandingDunk,76,Vertical,40
StandingDunk,76,DrivingDunk,5
StandingDunk,76,ShotClose,5
StandingDunk,77,Vertical,40
StandingDunk,77,DrivingDunk,5
StandingDunk,77,ShotClose,5
StandingDunk,78,Vertical,40
StandingDunk,78,DrivingDunk,10
StandingDunk,78,ShotClose,10
StandingDunk,79,Vertical,40
StandingDunk,79,DrivingDunk,10
StandingDunk,79,ShotClose,10
StandingDunk,80,Vertical,40
StandingDunk,80,DrivingDunk,15
StandingDunk,80,ShotClose,15
StandingDunk,81,Vertical,40
StandingDunk,81,DrivingDunk,15
StandingDunk,81,ShotClose,15
StandingDunk,82,Vertical,40
StandingDunk,82,DrivingDunk,15
StandingDunk,82,ShotClose,15
StandingDunk,83,Vertical,40
StandingDunk,83,DrivingDunk,20
StandingDunk,83,ShotClose,15
StandingDunk,84,Vertical,40
StandingDunk,84,DrivingDunk,30
StandingDunk,84,ShotClose,15
StandingDunk,85,Vertical,40
StandingDunk,85,DrivingDunk,35
StandingDunk,85,ShotClose,15
StandingDunk,86,Vertical,40
StandingDunk,86,DrivingDunk,35
StandingDunk,86,ShotClose,15
StandingDunk,87,Vertical,40
StandingDunk,87,DrivingDunk,40
StandingDunk,87,ShotClose,15
StandingDunk,88,Vertical,40
StandingDunk,88,DrivingDunk,40
StandingDunk,88,ShotClose,15
Steal,69,Agility,35
Steal,69,PerimeterDefense,25
Steal,69,InteriorDefense,60
Steal,70,Agility,35
Steal,70,PerimeterDefense,25
Steal,70,InteriorDefense,55
Steal,71,Agility,35
Steal,71,PerimeterDefense,25
Steal,71,InteriorDefense,55
Steal,72,Agility,35
Steal,72,PerimeterDefense,20
Steal,72,InteriorDefense,50
Steal,73,Agility,35
Steal,73,PerimeterDefense,20
Steal,73,InteriorDefense,45
Steal,74,Agility,35
Steal,74,PerimeterDefense,20
Steal,74,InteriorDefense,45
Steal,75,Agility,35
Steal,75,PerimeterDefense,15
Steal,75,InteriorDefense,45
Steal,76,Agility,35
Steal,76,PerimeterDefense,15
Steal,76,InteriorDefense,40
Steal,77,Agility,35
Steal,77,PerimeterDefense,20
Steal,77,InteriorDefense,40
Steal,78,Agility,35
Steal,78,PerimeterDefense,25
Steal,78,InteriorDefense,35
Steal,79,Agility,35
Steal,79,PerimeterDefense,25
Steal,79,InteriorDefense,35
Steal,80,Agility,35
Steal,80,PerimeterDefense,25
Steal,80,InteriorDefense,25
Steal,81,Agility,35
Steal,81,PerimeterDefense,25
Steal,81,InteriorDefense,15
Steal,82,Agility,35
Steal,82,InteriorDefense,5
Steal,83,Agility,35
Steal,83,InteriorDefense,5
Steal,84,Agility,35
Steal,84,InteriorDefense,5
Steal,85,Agility,35
Steal,85,InteriorDefense,5
Steal,86,Agility,35
Steal,86,InteriorDefense,5
Steal,87,Agility,35
Steal,87,InteriorDefense,5
Steal,88,Agility,35
Steal,88,InteriorDefense,5
Strength,69,InteriorDefense,32
Strength,69,PerimeterDefense,55
Strength,69,PostControl,60
Strength,70,InteriorDefense,30
Strength,70,PerimeterDefense,55
Strength,70,PostControl,60
Strength,71,InteriorDefense,30
Strength,71,PerimeterDefense,55
Strength,71,PostControl,60
Strength,72,InteriorDefense,30
Strength,72,PerimeterDefense,55
Strength,72,PostControl,60
Strength,73,InteriorDefense,30
Strength,73,PerimeterDefense,55
Strength,73,PostControl,60
Strength,74,InteriorDefense,30
Strength,74,PerimeterDefense,55
Strength,74,PostControl,60
Strength,75,InteriorDefense,30
Strength,75,PerimeterDefense,55
Strength,75,PostControl,60
Strength,76,InteriorDefense,30
Strength,76,PerimeterDefense,55
Strength,76,PostControl,50
Strength,77,InteriorDefense,25
Strength,77,PerimeterDefense,55
Strength,77,PostControl,45
Strength,78,InteriorDefense,25
Strength,78,PerimeterDefense,55
Strength,78,PostControl,40
Strength,79,InteriorDefense,25
Strength,79,PerimeterDefense,55
Strength,79,PostControl,35
Strength,80,InteriorDefense,20
Strength,80,PerimeterDefense,55
Strength,80,PostControl,35
Strength,81,InteriorDefense,20
Strength,81,PerimeterDefense,55
Strength,81,PostControl,35
Strength,82,InteriorDefense,20
Strength,82,PerimeterDefense,55
Strength,82,PostControl,35
Strength,83,InteriorDefense,20
Strength,83,PerimeterDefense,55
Strength,83,PostControl,35
Strength,84,InteriorDefense,20
Strength,84,PerimeterDefense,55
Strength,84,PostControl,30
Strength,85,InteriorDefense,10
Strength,85,PerimeterDefense,55
Strength,85,PostControl,30
Strength,86,InteriorDefense,5
Strength,86,PerimeterDefense,55
Strength,86,PostControl,25
Strength,87,InteriorDefense,5
Strength,87,PerimeterDefense,55
Strength,87,PostControl,25
Strength,88,InteriorDefense,5
Strength,88,PerimeterDefense,55
Strength,88,PostControl,25
Vertical,69,ReboundOffense,56
Vertical,69,ReboundDefense,47
Vertical,69,Block,51
Vertical,69,DrivingDunk,65
Vertical,69,ShotClose,25
Vertical,70,ReboundOffense,55
Vertical,70,ReboundDefense,46
Vertical,70,Block,49
Vertical,70,DrivingDunk,65
Vertical,70,ShotClose,25
Vertical,71,ReboundOffense,55
Vertical,71,ReboundDefense,45
Vertical,71,Block,47
Vertical,71,DrivingDunk,60
Vertical,71,ShotClose,25
Vertical,72,ReboundOffense,55
Vertical,72,ReboundDefense,44
Vertical,72,Block,45
Vertical,72,DrivingDunk,55
Vertical,72,ShotClose,25
Vertical,73,ReboundOffense,55
Vertical,73,ReboundDefense,43
Vertical,73,Block,45
Vertical,73,DrivingDunk,50
Vertical,73,StandingDunk,65
Vertical,73,ShotClose,25
Vertical,74,ReboundOffense,55
Vertical,74,ReboundDefense,43
Vertical,74,Block,45
Vertical,74,DrivingDunk,50
Vertical,74,StandingDunk,60
Vertical,74,ShotClose,25
Vertical,75,ReboundOffense,55
Vertical,75,ReboundDefense,41
Vertical,75,Block,45
Vertical,75,DrivingDunk,45
Vertical,75,StandingDunk,60
Vertical,75,ShotClose,25
Vertical,76,ReboundOffense,55
Vertical,76,ReboundDefense,39
Vertical,76,Block,45
Vertical,76,DrivingDunk,35
Vertical,76,StandingDunk,55
Vertical,76,ShotClose,25
Vertical,77,ReboundOffense,55
Vertical,77,ReboundDefense,37
Vertical,77,Block,45
Vertical,77,DrivingDunk,30
Vertical,77,StandingDunk,50
Vertical,77,ShotClose,25
Vertical,78,ReboundOffense,55
Vertical,78,ReboundDefense,37
Vertical,78,Block,45
Vertical,78,StandingDunk,50
Vertical,78,DrivingDunk,30
Vertical,78,ShotClose,25
Vertical,79,ReboundOffense,55
Vertical,79,ReboundDefense,37
Vertical,79,Block,45
Vertical,79,StandingDunk,45
Vertical,79,DrivingDunk,30
Vertical,79,ShotClose,25
Vertical,80,ReboundOffense,55
Vertical,80,ReboundDefense,37
Vertical,80,Block,45
Vertical,80,StandingDunk,35
Vertical,80,DrivingDunk,25
Vertical,80,ShotClose,20
Vertical,81,ReboundOffense,55
Vertical,81,ReboundDefense,37
Vertical,81,Block,45
Vertical,81,StandingDunk,35
Vertical,81,DrivingDunk,20
Vertical,81,ShotClose,20
Vertical,82,ReboundOffense,55
Vertical,82,ReboundDefense,37
Vertical,82,Block,45
Vertical,82,StandingDunk,20
Vertical,82,DrivingDunk,15
Vertical,82,ShotClose,20
Vertical,83,ReboundOffense,55
Vertical,83,ReboundDefense,37
Vertical,83,Block,45
Vertical,83,StandingDunk,10
Vertical,83,DrivingDunk,15
Vertical,83,ShotClose,20
Vertical,84,ReboundOffense,55
Vertical,84,ReboundDefense,37
Vertical,84,Block,45
Vertical,84,StandingDunk,5
Vertical,84,DrivingDunk,15
Vertical,84,ShotClose,10
Vertical,85,ReboundOffense,55
Vertical,85,ReboundDefense,37
Vertical,85,Block,45
Vertical,85,StandingDunk,5
Vertical,85,DrivingDunk,15
Vertical,85,ShotClose,10
Vertical,86,ReboundOffense,55
Vertical,86,ReboundDefense,37
Vertical,86,Block,45
Vertical,86,StandingDunk,5
Vertical,86,DrivingDunk,15
Vertical,86,ShotClose,10
Vertical,87,ReboundOffense,55
Vertical,87,ReboundDefense,37
Vertical,87,Block,45
Vertical,87,StandingDunk,5
Vertical,87,DrivingDunk,15
Vertical,87,ShotClose,10
Vertical,88,ReboundOffense,55
Vertical,88,ReboundDefense,37
Vertical,88,Block,45
Vertical,88,StandingDunk,5
Vertical,88,DrivingDunk,15
Vertical,88,ShotClose,10
